STATE,COUNTY,STATE_NUMBER,COUNTY_NUMBER
ALABAMA,AUTAUGA,01,001
ALABAMA,BALDWIN,01,003
ALABAMA,BARBOUR,01,005
ALABAMA,BIBB,01,007
ALABAMA,BLOUNT,01,009
ALABAMA,BULLOCK,01,011
ALABAMA,BUTLER,01,013
ALABAMA,CALHOUN,01,015
ALABAMA,CHAMBERS,01,017
ALABAMA,CHEROKEE,01,019
ALABAMA,CHILTON,01,021
ALABAMA,CHOCTAW,01,023
ALABAMA,CLARKE,01,025
ALABAMA,CLAY,01,027
ALABAMA,CLEBURNE,01,029
ALABAMA,COFFEE,01,031
ALABAMA,COLBERT,01,033
ALABAMA,CONECUH,01,035
ALABAMA,COOSA,01,037
ALABAMA,COVINGTON,01,039
ALABAMA,CRENSHAW,01,041
ALABAMA,CULLMAN,01,043
ALABAMA,DALE,01,045
ALABAMA,DALLAS,01,047
ALABAMA,DE KALB,01,049
ALABAMA,ELMORE,01,051
ALABAMA,ESCAMBIA,01,053
ALABAMA,ETOWAH,01,055
ALABAMA,FAYETTE,01,057
ALABAMA,FRANKLIN,01,059
ALABAMA,GENEVA,01,061
ALABAMA,GREENE,01,063
ALABAMA,HALE,01,065
ALABAMA,HENRY,01,067
ALABAMA,HOUSTON,01,069
ALABAMA,JACKSON,01,071
ALABAMA,JEFFERSON,01,073
ALABAMA,LAMAR,01,075
ALABAMA,LAUDERDALE,01,077
ALABAMA,LAWRENCE,01,079
ALABAMA,LEE,01,081
ALABAMA,LIMESTONE,01,083
ALABAMA,LOWNDES,01,085
ALABAMA,MACON,01,087
ALABAMA,MADISON,01,089
ALABAMA,MARENGO,01,091
ALABAMA,MARION,01,093
ALABAMA,MARSHALL,01,095
ALABAMA,MOBILE,01,097
ALABAMA,MONROE,01,099
ALABAMA,MONTGOMERY,01,101
ALABAMA,MORGAN,01,103
ALABAMA,PERRY,01,105
ALABAMA,PICKENS,01,107
ALABAMA,PIKE,01,109
ALABAMA,RANDOLPH,01,111
