LEAID,NAME_LEA21,NAME_COUNTY21
0100240,Autauga County School District,Autauga County
0100202,Gulf Shores City School District,Baldwin County
0100270,Baldwin County School District,Baldwin County
0100300,Barbour County School District,Barbour County
0101410,Eufaula City School District,Barbour County
0100360,Bibb County School District,Bibb County
0100420,Blount County School District,Blount County
0102550,Oneonta City School District,Blount County
0100480,Bullock County School District,Bullock County
0100510,Butler County School District,Butler County
0100090,Anniston City School District,Calhoun County
0100540,Calhoun County School District,Calhoun County
0101860,Jacksonville City School District,Calhoun County
0100600,Chambers County School District,Chambers County
0101980,Lanett City School District,Chambers County
0100630,Cherokee County School District,Cherokee County
0100660,Chilton County School District,Chilton County
0100690,Choctaw County School District,Choctaw County
0100720,Clarke County School District,Clarke County
0103300,Thomasville City School District,Clarke County
0100750,Clay County School District,Clay County
0100780,Cleburne County School District,Cleburne County
0100810,Coffee County School District,Coffee County
0101260,Elba City School District,Coffee County
0100840,Colbert County School District,Colbert County
0102520,Muscle Shoals City School District,Colbert County
0103000,Sheffield City School District,Colbert County
0103420,Tuscumbia City School District,Colbert County
0100870,Conecuh County School District,Conecuh County
0100900,Coosa County School District,Coosa County
0100060,Andalusia City School District,Covington County
0100930,Covington County School District,Covington County
0102610,Opp City School District,Covington County
0100960,Crenshaw County School District,Crenshaw County
0100990,Cullman City School District,Cullman County
0101020,Cullman County School District,Cullman County
0101050,Dale County School District,Dale County
0101080,Daleville City School District,Dale County
0102640,Ozark City School District,Dale County
0101110,Dallas County School District,Dallas County
0102970,Selma City School District,Dallas County
0101140,DeKalb County School District,DeKalb County
0101560,Fort Payne City School District,DeKalb County
0101290,Elmore County School District,Elmore County
0100450,Brewton City School District,Escambia County
0101350,Escambia County School District,Escambia County
0100180,Attalla City School District,Etowah County
0101380,Etowah County School District,Etowah County
0101620,Gadsden City School District,Etowah County
0101470,Fayette County School District,Fayette County
0101590,Franklin County School District,Franklin County
0102910,Russellville City School District,Franklin County
0101640,Geneva City School District,Geneva County
0101660,Geneva County School District,Geneva County
0101680,Greene County School District,Greene County
0101710,Hale County School District,Hale County
0101740,Henry County School District,Henry County
0101770,Houston County School District,Houston County
0101830,Jackson County School District,Jackson County
0102940,Scottsboro City School District,Jackson County
0100330,Bessemer City School District,Jefferson County
0101440,Fairfield City School District,Jefferson County
0101760,Homewood City School District,Jefferson County
0101920,Jefferson County School District,Jefferson County
0102350,Midfield City School District,Jefferson County
0102490,Mountain Brook City School District,Jefferson County
0103270,Tarrant City School District,Jefferson County
0101950,Lamar County School District,Lamar County
0101530,Florence City School District,Lauderdale County
0102010,Lauderdale County School District,Lauderdale County
0102040,Lawrence County School District,Lawrence County
0100210,Auburn City School District,Lee County
0102070,Lee County School District,Lee County
0102580,Opelika City School District,Lee County
0100120,Athens City School District,Limestone County
0102100,Limestone County School District,Limestone County
0102160,Lowndes County School District,Lowndes County
0102190,Macon County School District,Macon County
0102220,Madison County School District,Madison County
0101200,Demopolis City School District,Marengo County
0102130,Linden City School District,Marengo County
0102250,Marengo County School District,Marengo County
0102310,Marion County School District,Marion County
0100005,Albertville City School District,Marshall County
