SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	01	0100002	-4	0	-4.0	-2	5	-2.0	-2
2009-10	01	0100005	-3	1052	-3.0	193	278	69.4	9
2009-10	01	0100006	-1	1648	-1.0	338	469	72.1	13
2009-10	01	0100007	-3	3935	-3.0	900	965	93.3	12
2009-10	01	0100008	-3	2886	-3.0	672	674	99.7	13
2009-10	01	0100009	-4	0	-4.0	-2	-2	-2.0	-2
2009-10	01	0100011	-3	388	-3.0	78	106	73.6	7
2009-10	01	0100012	-3	656	-3.0	129	170	75.9	6
2009-10	01	0100013	-3	1248	-3.0	275	321	85.7	11
2009-10	01	0100015	-4	0	-4.0	-2	-2	-2.0	-2
2009-10	01	0100016	-4	0	-4.0	-2	-2	-2.0	-2
2009-10	01	0100018	-4	0	-4.0	-2	69	-2.0	-2
2009-10	01	0100019	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100020	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100021	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100022	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100023	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100024	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100026	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100028	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100029	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100030	-3	1064	-3.0	235	300	78.3	10
2009-10	01	0100032	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100033	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100035	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100036	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100037	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100038	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100039	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100040	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100041	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100042	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100043	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100044	-4	0	-4.0	-2	-2	-2.0	-2
2009-10	01	0100045	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100046	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100060	-3	448	-3.0	74	123	60.2	16
2009-10	01	0100090	-3	597	-3.0	105	167	62.9	11
2009-10	01	0100100	-3	739	-3.0	147	182	80.8	5
2009-10	01	0100120	-3	879	-3.0	226	252	89.7	1
2009-10	01	0100173	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100174	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100175	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100176	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100178	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100179	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100180	-3	673	-3.0	107	174	61.5	9
2009-10	01	0100181	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100183	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100184	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100185	-3	302	-3.0	-1	-2	-1.0	0
2009-10	01	0100186	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100187	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	01	0100210	-3	1764	-3.0	349	380	91.8	4
2009-10	01	0100240	-3	3094	-3.0	615	793	77.6	14
2009-10	01	0100270	-3	8058	-3.0	1648	2164	76.2	57
2009-10	01	0100300	18	327	5.5	49	101	48.5	14
2009-10	01	0100330	54	1184	4.6	164	319	51.4	16
2009-10	01	0100360	-3	1038	-3.0	206	291	70.8	8
2009-10	01	0100390	-3	7672	-3.0	1380	2536	54.4	78
2009-10	01	0100420	-3	2425	-3.0	489	645	75.8	19
2009-10	01	0100450	-3	379	-3.0	81	109	74.3	2
2009-10	01	0100480	-3	521	-3.0	113	164	68.9	0
2009-10	01	0100510	-3	1037	-3.0	206	274	75.2	16
2009-10	01	0100540	-3	2571	-3.0	536	736	72.8	31
2009-10	01	0100600	-3	1227	-3.0	239	339	70.5	8
2009-10	01	0100630	-3	1209	-3.0	260	351	74.1	21
2009-10	01	0100660	-3	2139	-3.0	389	564	69.0	37
2009-10	01	0100690	-3	551	-3.0	116	151	76.8	6
2009-10	01	0100720	-3	1069	-3.0	217	304	71.4	28
2009-10	01	0100750	-3	603	-3.0	110	144	76.4	2
