COUNTY,RPL_THEME1,STATE
MADISON,0.0035,ALABAMA
SHELBY,0.0031,ALABAMA
MADISON,0.0512,ALABAMA
MADISON,0.0059,ALABAMA
JEFFERSON,0.0111,ALABAMA
SHELBY,0.0078,ALABAMA
TUSCALOOSA,0.0052,ALABAMA
JEFFERSON,0.0006,ALABAMA
SHELBY,0.0401,ALABAMA
MADISON,0.0087,ALABAMA
MADISON,0.0149,ALABAMA
JEFFERSON,0.0619,ALABAMA
SHELBY,0.0223,ALABAMA
SHELBY,0.0483,ALABAMA
JEFFERSON,0.0371,ALABAMA
MADISON,0.0507,ALABAMA
JEFFERSON,0.1468,ALABAMA
MORGAN,0.1217,ALABAMA
JEFFERSON,0.1561,ALABAMA
JEFFERSON,0.0341,ALABAMA
SHELBY,0.0207,ALABAMA
MOBILE,0.0127,ALABAMA
SHELBY,0.041,ALABAMA
JEFFERSON,0.0047,ALABAMA
MADISON,0.122,ALABAMA
JEFFERSON,0.0269,ALABAMA
MADISON,0.0705,ALABAMA
JEFFERSON,0.0531,ALABAMA
MADISON,0.1309,ALABAMA
MONTGOMERY,0.1218,ALABAMA
SHELBY,0.124,ALABAMA
ELMORE,0.0967,ALABAMA
SHELBY,0.169,ALABAMA
JEFFERSON,0.0365,ALABAMA
MADISON,0.0311,ALABAMA
JEFFERSON,0.1164,ALABAMA
MADISON,0.065,ALABAMA
SHELBY,0.3103,ALABAMA
JEFFERSON,0.2185,ALABAMA
SHELBY,0.0932,ALABAMA
MONTGOMERY,0.0747,ALABAMA
MONTGOMERY,0.0209,ALABAMA
JEFFERSON,0.0961,ALABAMA
JEFFERSON,0.4185,ALABAMA
MADISON,0.0121,ALABAMA
MADISON,0.3099,ALABAMA
JEFFERSON,0.0649,ALABAMA
MOBILE,0.052,ALABAMA
SHELBY,0.0933,ALABAMA
MOBILE,0.2759,ALABAMA
MADISON,0.0402,ALABAMA
MONTGOMERY,0.1331,ALABAMA
MADISON,0.0702,ALABAMA
MONTGOMERY,0.0736,ALABAMA
MOBILE,0.3163,ALABAMA
SHELBY,0.1371,ALABAMA
TUSCALOOSA,0.271,ALABAMA
SHELBY,0.17,ALABAMA
MADISON,0.1148,ALABAMA
SHELBY,0.1368,ALABAMA
MONTGOMERY,0.0535,ALABAMA
MADISON,0.283,ALABAMA
JEFFERSON,0.1649,ALABAMA
JEFFERSON,0.0475,ALABAMA
SHELBY,0.2194,ALABAMA
JEFFERSON,0.087,ALABAMA
COFFEE,0.1626,ALABAMA
ETOWAH,0.3268,ALABAMA
MADISON,0.162,ALABAMA
TUSCALOOSA,0.3196,ALABAMA
JEFFERSON,0.0957,ALABAMA
MADISON,0.3354,ALABAMA
MADISON,0.1892,ALABAMA
JEFFERSON,0.3075,ALABAMA
MOBILE,0.2868,ALABAMA
MONTGOMERY,0.1265,ALABAMA
MONTGOMERY,0.0669,ALABAMA
MADISON,0.404,ALABAMA
TUSCALOOSA,0.1805,ALABAMA
TUSCALOOSA,0.2623,ALABAMA
SHELBY,0.1232,ALABAMA
JEFFERSON,0.2921,ALABAMA
MOBILE,0.1577,ALABAMA
SHELBY,0.1546,ALABAMA
MADISON,0.2881,ALABAMA
MONTGOMERY,0.0767,ALABAMA
JEFFERSON,0.3093,ALABAMA
ELMORE,0.206,ALABAMA
BALDWIN,0.1974,ALABAMA
JEFFERSON,0.3349,ALABAMA
COLBERT,0.2809,ALABAMA
BALDWIN,0.4928,ALABAMA
SHELBY,0.4237,ALABAMA
JEFFERSON,0.1843,ALABAMA
SHELBY,0.2096,ALABAMA
TUSCALOOSA,0.4697,ALABAMA
ETOWAH,0.2005,ALABAMA
MADISON,0.1277,ALABAMA
MONTGOMERY,0.09,ALABAMA
JEFFERSON,0.0986,ALABAMA
ST. CLAIR,0.3009,ALABAMA
LIMESTONE,0.4946,ALABAMA
BALDWIN,0.3814,ALABAMA
MONTGOMERY,0.2277,ALABAMA
JEFFERSON,0.0198,ALABAMA
MOBILE,0.2201,ALABAMA
LAUDERDALE,0.2359,ALABAMA
MOBILE,0.2372,ALABAMA
COVINGTON,0.4059,ALABAMA
MORGAN,0.3938,ALABAMA
MONTGOMERY,0.2268,ALABAMA
MADISON,0.2048,ALABAMA
JEFFERSON,0.0743,ALABAMA
AUTAUGA,0.1825,ALABAMA
JEFFERSON,0.3493,ALABAMA
TALLADEGA,0.2775,ALABAMA
BALDWIN,0.1087,ALABAMA
TUSCALOOSA,0.0615,ALABAMA
MOBILE,0.0521,ALABAMA
JEFFERSON,0.47,ALABAMA
LAUDERDALE,0.4018,ALABAMA
BALDWIN,0.3613,ALABAMA
SHELBY,0.2076,ALABAMA
CALHOUN,0.4574,ALABAMA
LEE,0.5624,ALABAMA
ETOWAH,0.2029,ALABAMA
BALDWIN,0.0726,ALABAMA
JEFFERSON,0.2993,ALABAMA
JEFFERSON,0.3887,ALABAMA
MADISON,0.1452,ALABAMA
JEFFERSON,0.0582,ALABAMA
MADISON,0.1899,ALABAMA
SHELBY,0.3018,ALABAMA
MOBILE,0.1743,ALABAMA
JEFFERSON,0.2595,ALABAMA
JEFFERSON,0.1005,ALABAMA
SHELBY,0.1403,ALABAMA
BALDWIN,0.1525,ALABAMA
MADISON,0.194,ALABAMA
BALDWIN,0.3287,ALABAMA
MARION,0.4573,ALABAMA
MOBILE,0.3912,ALABAMA
AUTAUGA,0.2577,ALABAMA
SHELBY,0.1948,ALABAMA
CALHOUN,0.3106,ALABAMA
DALE,0.337,ALABAMA
MORGAN,0.374,ALABAMA
TUSCALOOSA,0.4994,ALABAMA
BALDWIN,0.275,ALABAMA
SHELBY,0.0566,ALABAMA
MORGAN,0.1655,ALABAMA
LAWRENCE,0.5082,ALABAMA
MADISON,0.2108,ALABAMA
MADISON,0.1928,ALABAMA
JEFFERSON,0.1182,ALABAMA
MONTGOMERY,0.0958,ALABAMA
TALLAPOOSA,0.1682,ALABAMA
MONTGOMERY,0.2711,ALABAMA
MOBILE,0.2064,ALABAMA
TUSCALOOSA,0.3725,ALABAMA
CLAY,0.4957,ALABAMA
MADISON,0.1712,ALABAMA
COLBERT,0.3616,ALABAMA
JEFFERSON,0.3325,ALABAMA
BIBB,0.5366,ALABAMA
JEFFERSON,0.2019,ALABAMA
JEFFERSON,0.2805,ALABAMA
BUTLER,0.4697,ALABAMA
JEFFERSON,0.0669,ALABAMA
TALLADEGA,0.4317,ALABAMA
CULLMAN,0.5841,ALABAMA
MORGAN,0.3142,ALABAMA
BALDWIN,0.4701,ALABAMA
ETOWAH,0.5654,ALABAMA
TUSCALOOSA,0.467,ALABAMA
JEFFERSON,0.1397,ALABAMA
LIMESTONE,0.5635,ALABAMA
MOBILE,0.1995,ALABAMA
ELMORE,0.2135,ALABAMA
LIMESTONE,0.357,ALABAMA
MORGAN,0.5923,ALABAMA
AUTAUGA,0.3913,ALABAMA
ST. CLAIR,0.3893,ALABAMA
JEFFERSON,0.5354,ALABAMA
HOUSTON,0.2056,ALABAMA
CULLMAN,0.5997,ALABAMA
LEE,0.7632,ALABAMA
JEFFERSON,0.3526,ALABAMA
BALDWIN,0.3079,ALABAMA
ST. CLAIR,0.413,ALABAMA
SHELBY,0.4176,ALABAMA
JEFFERSON,0.1545,ALABAMA
LIMESTONE,0.3595,ALABAMA
MOBILE,0.4264,ALABAMA
MADISON,0.5902,ALABAMA
MOBILE,0.2789,ALABAMA
SHELBY,0.395,ALABAMA
CALHOUN,0.577,ALABAMA
BALDWIN,0.2615,ALABAMA
ELMORE,0.2957,ALABAMA
CALHOUN,0.3703,ALABAMA
TUSCALOOSA,0.3236,ALABAMA
CHILTON,0.5943,ALABAMA
MONTGOMERY,0.2329,ALABAMA
JEFFERSON,0.1892,ALABAMA
TUSCALOOSA,0.4989,ALABAMA
ETOWAH,0.612,ALABAMA
RUSSELL,0.4722,ALABAMA
JACKSON,0.4479,ALABAMA
LEE,0.3271,ALABAMA
AUTAUGA,0.4077,ALABAMA
ELMORE,0.2329,ALABAMA
DEKALB,0.2241,ALABAMA
CHEROKEE,0.5644,ALABAMA
BLOUNT,0.3346,ALABAMA
COFFEE,0.4791,ALABAMA
DALLAS,0.3601,ALABAMA
BUTLER,0.5156,ALABAMA
MADISON,0.5789,ALABAMA
TUSCALOOSA,0.7863,ALABAMA
COOSA,0.495,ALABAMA
ST. CLAIR,0.3202,ALABAMA
TALLAPOOSA,0.4973,ALABAMA
BALDWIN,0.2715,ALABAMA
MARSHALL,0.5086,ALABAMA
MADISON,0.4329,ALABAMA
TALLAPOOSA,0.6371,ALABAMA
MADISON,0.5863,ALABAMA
LAUDERDALE,0.6453,ALABAMA
CULLMAN,0.5712,ALABAMA
ETOWAH,0.4265,ALABAMA
MADISON,0.2765,ALABAMA
MOBILE,0.5245,ALABAMA
LEE,0.4892,ALABAMA
JEFFERSON,0.3864,ALABAMA
CULLMAN,0.6146,ALABAMA
JEFFERSON,0.0607,ALABAMA
LEE,0.7234,ALABAMA
SHELBY,0.3859,ALABAMA
FRANKLIN,0.4196,ALABAMA
ETOWAH,0.6887,ALABAMA
MOBILE,0.3634,ALABAMA
MORGAN,0.3391,ALABAMA
JEFFERSON,0.3239,ALABAMA
MORGAN,0.3044,ALABAMA
MOBILE,0.3796,ALABAMA
TUSCALOOSA,0.5773,ALABAMA
CULLMAN,0.4931,ALABAMA
COFFEE,0.5215,ALABAMA
LAUDERDALE,0.4543,ALABAMA
SHELBY,0.4477,ALABAMA
SHELBY,0.3073,ALABAMA
LEE,0.3684,ALABAMA
LEE,0.392,ALABAMA
MONTGOMERY,0.1645,ALABAMA
LEE,0.2367,ALABAMA
LIMESTONE,0.3811,ALABAMA
JEFFERSON,0.3609,ALABAMA
MOBILE,0.191,ALABAMA
SHELBY,0.4714,ALABAMA
CHEROKEE,0.5609,ALABAMA
LAUDERDALE,0.3566,ALABAMA
TUSCALOOSA,0.3956,ALABAMA
DALLAS,0.5313,ALABAMA
LAUDERDALE,0.6798,ALABAMA
ETOWAH,0.6124,ALABAMA
LAUDERDALE,0.3702,ALABAMA
TUSCALOOSA,0.3826,ALABAMA
WINSTON,0.7721,ALABAMA
MADISON,0.5502,ALABAMA
MOBILE,0.5199,ALABAMA
DALE,0.5938,ALABAMA
JEFFERSON,0.4148,ALABAMA
COLBERT,0.5985,ALABAMA
LAUDERDALE,0.2606,ALABAMA
MACON,0.6073,ALABAMA
LAUDERDALE,0.5247,ALABAMA
JEFFERSON,0.4549,ALABAMA
TUSCALOOSA,0.4194,ALABAMA
HOUSTON,0.5491,ALABAMA
LEE,0.5154,ALABAMA
HOUSTON,0.2456,ALABAMA
ETOWAH,0.5709,ALABAMA
MOBILE,0.5651,ALABAMA
TUSCALOOSA,0.6584,ALABAMA
MADISON,0.3292,ALABAMA
MARSHALL,0.5946,ALABAMA
COFFEE,0.4986,ALABAMA
BLOUNT,0.4794,ALABAMA
COVINGTON,0.585,ALABAMA
DALE,0.5606,ALABAMA
TUSCALOOSA,0.748,ALABAMA
BALDWIN,0.2281,ALABAMA
LAMAR,0.5586,ALABAMA
LEE,0.4627,ALABAMA
BALDWIN,0.4255,ALABAMA
TUSCALOOSA,0.5413,ALABAMA
CLEBURNE,0.6041,ALABAMA
ELMORE,0.4721,ALABAMA
TUSCALOOSA,0.5477,ALABAMA
MONTGOMERY,0.4475,ALABAMA
MONTGOMERY,0.4431,ALABAMA
MOBILE,0.2639,ALABAMA
