2010_MEDIAN_HOUSEHOLD_INCOME,COUNTY,STATE
56500,AUTAUGA COUNTY,ALABAMA
41250,AUTAUGA COUNTY,ALABAMA
43088,AUTAUGA COUNTY,ALABAMA
54503,AUTAUGA COUNTY,ALABAMA
65027,AUTAUGA COUNTY,ALABAMA
52639,AUTAUGA COUNTY,ALABAMA
39427,AUTAUGA COUNTY,ALABAMA
78587,AUTAUGA COUNTY,ALABAMA
60019,AUTAUGA COUNTY,ALABAMA
45208,AUTAUGA COUNTY,ALABAMA
52563,AUTAUGA COUNTY,ALABAMA
40577,AUTAUGA COUNTY,ALABAMA
36750,BALDWIN COUNTY,ALABAMA
34073,BALDWIN COUNTY,ALABAMA
52212,BALDWIN COUNTY,ALABAMA
49068,BALDWIN COUNTY,ALABAMA
51583,BALDWIN COUNTY,ALABAMA
30659,BALDWIN COUNTY,ALABAMA
78548,BALDWIN COUNTY,ALABAMA
81938,BALDWIN COUNTY,ALABAMA
75417,BALDWIN COUNTY,ALABAMA
49531,BALDWIN COUNTY,ALABAMA
61215,BALDWIN COUNTY,ALABAMA
49470,BALDWIN COUNTY,ALABAMA
43309,BALDWIN COUNTY,ALABAMA
50515,BALDWIN COUNTY,ALABAMA
45991,BALDWIN COUNTY,ALABAMA
39411,BALDWIN COUNTY,ALABAMA
62946,BALDWIN COUNTY,ALABAMA
55259,BALDWIN COUNTY,ALABAMA
53807,BALDWIN COUNTY,ALABAMA
45738,BALDWIN COUNTY,ALABAMA
61466,BALDWIN COUNTY,ALABAMA
44860,BALDWIN COUNTY,ALABAMA
43034,BALDWIN COUNTY,ALABAMA
71555,BALDWIN COUNTY,ALABAMA
50079,BALDWIN COUNTY,ALABAMA
46944,BALDWIN COUNTY,ALABAMA
49682,BALDWIN COUNTY,ALABAMA
38096,BALDWIN COUNTY,ALABAMA
41306,BALDWIN COUNTY,ALABAMA
36699,BALDWIN COUNTY,ALABAMA
43147,BALDWIN COUNTY,ALABAMA
37719,BARBOUR COUNTY,ALABAMA
25465,BARBOUR COUNTY,ALABAMA
26875,BARBOUR COUNTY,ALABAMA
35625,BARBOUR COUNTY,ALABAMA
38370,BARBOUR COUNTY,ALABAMA
31834,BARBOUR COUNTY,ALABAMA
32450,BARBOUR COUNTY,ALABAMA
48831,BARBOUR COUNTY,ALABAMA
18106,BARBOUR COUNTY,ALABAMA
41765,BIBB COUNTY,ALABAMA
43876,BIBB COUNTY,ALABAMA
32385,BIBB COUNTY,ALABAMA
30379,BIBB COUNTY,ALABAMA
45136,BLOUNT COUNTY,ALABAMA
42753,BLOUNT COUNTY,ALABAMA
41425,BLOUNT COUNTY,ALABAMA
36286,BLOUNT COUNTY,ALABAMA
36364,BLOUNT COUNTY,ALABAMA
42724,BLOUNT COUNTY,ALABAMA
56368,BLOUNT COUNTY,ALABAMA
62511,BLOUNT COUNTY,ALABAMA
46220,BLOUNT COUNTY,ALABAMA
31991,BULLOCK COUNTY,ALABAMA
28325,BULLOCK COUNTY,ALABAMA
44347,BULLOCK COUNTY,ALABAMA
29453,BUTLER COUNTY,ALABAMA
47841,BUTLER COUNTY,ALABAMA
33265,BUTLER COUNTY,ALABAMA
35750,BUTLER COUNTY,ALABAMA
20296,BUTLER COUNTY,ALABAMA
35000,BUTLER COUNTY,ALABAMA
38980,BUTLER COUNTY,ALABAMA
23549,BUTLER COUNTY,ALABAMA
24250,BUTLER COUNTY,ALABAMA
34914,CALHOUN COUNTY,ALABAMA
19933,CALHOUN COUNTY,ALABAMA
26989,CALHOUN COUNTY,ALABAMA
15556,CALHOUN COUNTY,ALABAMA
19615,CALHOUN COUNTY,ALABAMA
26199,CALHOUN COUNTY,ALABAMA
34550,CALHOUN COUNTY,ALABAMA
57036,CALHOUN COUNTY,ALABAMA
44545,CALHOUN COUNTY,ALABAMA
52486,CALHOUN COUNTY,ALABAMA
36034,CALHOUN COUNTY,ALABAMA
52357,CALHOUN COUNTY,ALABAMA
25530,CALHOUN COUNTY,ALABAMA
35525,CALHOUN COUNTY,ALABAMA
40510,CALHOUN COUNTY,ALABAMA
29471,CALHOUN COUNTY,ALABAMA
63079,CALHOUN COUNTY,ALABAMA
37173,CALHOUN COUNTY,ALABAMA
51110,CALHOUN COUNTY,ALABAMA
12361,CALHOUN COUNTY,ALABAMA
55129,CALHOUN COUNTY,ALABAMA
40777,CALHOUN COUNTY,ALABAMA
32798,CALHOUN COUNTY,ALABAMA
34048,CALHOUN COUNTY,ALABAMA
62028,CALHOUN COUNTY,ALABAMA
44320,CALHOUN COUNTY,ALABAMA
40714,CALHOUN COUNTY,ALABAMA
47146,CALHOUN COUNTY,ALABAMA
33233,CHAMBERS COUNTY,ALABAMA
34487,CHAMBERS COUNTY,ALABAMA
34500,CHAMBERS COUNTY,ALABAMA
39332,CHAMBERS COUNTY,ALABAMA
30462,CHAMBERS COUNTY,ALABAMA
21595,CHAMBERS COUNTY,ALABAMA
23449,CHAMBERS COUNTY,ALABAMA
33523,CHAMBERS COUNTY,ALABAMA
33460,CHAMBERS COUNTY,ALABAMA
36361,CHEROKEE COUNTY,ALABAMA
31327,CHEROKEE COUNTY,ALABAMA
38173,CHEROKEE COUNTY,ALABAMA
43209,CHEROKEE COUNTY,ALABAMA
40305,CHEROKEE COUNTY,ALABAMA
37861,CHEROKEE COUNTY,ALABAMA
39564,CHILTON COUNTY,ALABAMA
37564,CHILTON COUNTY,ALABAMA
39583,CHILTON COUNTY,ALABAMA
50610,CHILTON COUNTY,ALABAMA
54525,CHILTON COUNTY,ALABAMA
38531,CHILTON COUNTY,ALABAMA
40745,CHILTON COUNTY,ALABAMA
38103,CHILTON COUNTY,ALABAMA
35758,CHILTON COUNTY,ALABAMA
25559,CHOCTAW COUNTY,ALABAMA
32554,CHOCTAW COUNTY,ALABAMA
42763,CHOCTAW COUNTY,ALABAMA
26891,CHOCTAW COUNTY,ALABAMA
37794,CLARKE COUNTY,ALABAMA
30096,CLARKE COUNTY,ALABAMA
36806,CLARKE COUNTY,ALABAMA
30000,CLARKE COUNTY,ALABAMA
23966,CLARKE COUNTY,ALABAMA
47386,CLARKE COUNTY,ALABAMA
33684,CLARKE COUNTY,ALABAMA
19583,CLARKE COUNTY,ALABAMA
29844,CLARKE COUNTY,ALABAMA
40614,CLAY COUNTY,ALABAMA
26516,CLAY COUNTY,ALABAMA
36921,CLAY COUNTY,ALABAMA
31801,CLAY COUNTY,ALABAMA
34375,CLEBURNE COUNTY,ALABAMA
32396,CLEBURNE COUNTY,ALABAMA
38359,CLEBURNE COUNTY,ALABAMA
42692,CLEBURNE COUNTY,ALABAMA
37950,COFFEE COUNTY,ALABAMA
38221,COFFEE COUNTY,ALABAMA
44115,COFFEE COUNTY,ALABAMA
36514,COFFEE COUNTY,ALABAMA
31800,COFFEE COUNTY,ALABAMA
34079,COFFEE COUNTY,ALABAMA
38750,COFFEE COUNTY,ALABAMA
55547,COFFEE COUNTY,ALABAMA
35990,COFFEE COUNTY,ALABAMA
47520,COFFEE COUNTY,ALABAMA
38716,COFFEE COUNTY,ALABAMA
85223,COFFEE COUNTY,ALABAMA
50142,COFFEE COUNTY,ALABAMA
20557,COFFEE COUNTY,ALABAMA
40070,COLBERT COUNTY,ALABAMA
36477,COLBERT COUNTY,ALABAMA
21123,COLBERT COUNTY,ALABAMA
66250,COLBERT COUNTY,ALABAMA
39167,COLBERT COUNTY,ALABAMA
31652,COLBERT COUNTY,ALABAMA
56550,COLBERT COUNTY,ALABAMA
52872,COLBERT COUNTY,ALABAMA
40808,COLBERT COUNTY,ALABAMA
44074,COLBERT COUNTY,ALABAMA
32316,COLBERT COUNTY,ALABAMA
40446,COLBERT COUNTY,ALABAMA
40611,COLBERT COUNTY,ALABAMA
34672,COLBERT COUNTY,ALABAMA
41417,CONECUH COUNTY,ALABAMA
33555,CONECUH COUNTY,ALABAMA
23821,CONECUH COUNTY,ALABAMA
24091,CONECUH COUNTY,ALABAMA
24813,CONECUH COUNTY,ALABAMA
26658,COOSA COUNTY,ALABAMA
41000,COOSA COUNTY,ALABAMA
37134,COOSA COUNTY,ALABAMA
43697,COVINGTON COUNTY,ALABAMA
38224,COVINGTON COUNTY,ALABAMA
26995,COVINGTON COUNTY,ALABAMA
41959,COVINGTON COUNTY,ALABAMA
33125,COVINGTON COUNTY,ALABAMA
22857,COVINGTON COUNTY,ALABAMA
48607,COVINGTON COUNTY,ALABAMA
45938,COVINGTON COUNTY,ALABAMA
25722,COVINGTON COUNTY,ALABAMA
17321,COVINGTON COUNTY,ALABAMA
41875,COVINGTON COUNTY,ALABAMA
36548,COVINGTON COUNTY,ALABAMA
36552,COVINGTON COUNTY,ALABAMA
25500,COVINGTON COUNTY,ALABAMA
38419,CRENSHAW COUNTY,ALABAMA
42279,CRENSHAW COUNTY,ALABAMA
35345,CRENSHAW COUNTY,ALABAMA
38259,CRENSHAW COUNTY,ALABAMA
33044,CRENSHAW COUNTY,ALABAMA
45357,CRENSHAW COUNTY,ALABAMA
42528,CULLMAN COUNTY,ALABAMA
40795,CULLMAN COUNTY,ALABAMA
45352,CULLMAN COUNTY,ALABAMA
36373,CULLMAN COUNTY,ALABAMA
40154,CULLMAN COUNTY,ALABAMA
40023,CULLMAN COUNTY,ALABAMA
39185,CULLMAN COUNTY,ALABAMA
30169,CULLMAN COUNTY,ALABAMA
39360,CULLMAN COUNTY,ALABAMA
36640,CULLMAN COUNTY,ALABAMA
34192,CULLMAN COUNTY,ALABAMA
51190,CULLMAN COUNTY,ALABAMA
39650,CULLMAN COUNTY,ALABAMA
31058,CULLMAN COUNTY,ALABAMA
35000,CULLMAN COUNTY,ALABAMA
45026,CULLMAN COUNTY,ALABAMA
43409,CULLMAN COUNTY,ALABAMA
42906,CULLMAN COUNTY,ALABAMA
51081,DALE COUNTY,ALABAMA
46357,DALE COUNTY,ALABAMA
53060,DALE COUNTY,ALABAMA
39063,DALE COUNTY,ALABAMA
56815,DALE COUNTY,ALABAMA
27727,DALE COUNTY,ALABAMA
26644,DALE COUNTY,ALABAMA
43188,DALE COUNTY,ALABAMA
54419,DALE COUNTY,ALABAMA
51111,DALE COUNTY,ALABAMA
46016,DALE COUNTY,ALABAMA
45833,DALE COUNTY,ALABAMA
45417,DALE COUNTY,ALABAMA
36959,DALE COUNTY,ALABAMA
36579,DALLAS COUNTY,ALABAMA
28958,DALLAS COUNTY,ALABAMA
44196,DALLAS COUNTY,ALABAMA
33813,DALLAS COUNTY,ALABAMA
13821,DALLAS COUNTY,ALABAMA
12112,DALLAS COUNTY,ALABAMA
22156,DALLAS COUNTY,ALABAMA
68206,DALLAS COUNTY,ALABAMA
