U.S. FIPS County Codes,,
State,County Name,FIPS County
Alabama,Autauga,001
Alabama,Baldwin,003
Alabama,Barbour,005
Alabama,Bibb,007
Alabama,Blount,009
Alabama,Bullock,011
Alabama,Butler,013
Alabama,Calhoun,015
Alabama,Chambers,017
Alabama,Cherokee,019
Alabama,Chilton,021
Alabama,Choctaw,023
Alabama,Clarke,025
Alabama,Clay,027
Alabama,Cleburne,029
Alabama,Coffee,031
Alabama,Colbert,033
Alabama,Conecuh,035
Alabama,Coosa,037
Alabama,Covington,039
Alabama,Crenshaw,041
Alabama,Cullman,043
Alabama,Dale,045
Alabama,Dallas,047
Alabama,De Kalb,049
Alabama,Elmore,051
Alabama,Escambia,053
Alabama,Etowah,055
Alabama,Fayette,057
Alabama,Franklin,059
Alabama,Geneva,061
Alabama,Greene,063
Alabama,Hale,065
Alabama,Henry,067
Alabama,Houston,069
Alabama,Jackson,071
Alabama,Jefferson,073
Alabama,Lamar,075
Alabama,Lauderdale,077
Alabama,Lawrence,079
Alabama,Lee,081
Alabama,Limestone,083
Alabama,Lowndes,085
Alabama,Macon,087
Alabama,Madison,089
Alabama,Marengo,091
Alabama,Marion,093
Alabama,Marshall,095
Alabama,Mobile,097
Alabama,Monroe,099
Alabama,Montgomery,101
Alabama,Morgan,103
Alabama,Perry,105
Alabama,Pickens,107
Alabama,Pike,109
Alabama,Randolph,111
Alabama,Russell,113
Alabama,St Clair,115
Alabama,Shelby,117
Alabama,Sumter,119
Alabama,Talladega,121
Alabama,Tallapoosa,123
Alabama,Tuscaloosa,125
Alabama,Walker,127
Alabama,Washington,129
Alabama,Wilcox,131
Alabama,Winston,133
Alaska,Aleutians East,013
Alaska,Aleutians West,016
Alaska,Anchorage,020
Alaska,Bethel,050
Alaska,Bristol Bay,060
Alaska,Denali,068
Alaska,Dillingham,070
Alaska,Fairbanks North Star,090
Alaska,Haines,100
Alaska,Juneau,110
Alaska,Kenai Peninsula,122
Alaska,Ketchikan Gateway,130
Alaska,Kodiak Island,150
Alaska,Lake and Peninsula,164
Alaska,Matanuska Susitna,170
Alaska,Nome,180
Alaska,North Slope,185
Alaska,Northwest Arctic,188
Alaska,Prince Wales Ketchikan,201
Alaska,Sitka,220
Alaska,Skagway Hoonah Angoon,232
Alaska,Southeast Fairbanks,240
Alaska,Valdez Cordova,261
Alaska,Wade Hampton,270
Alaska,Wrangell Petersburg,280
