STATE,COUNTY,NAME_LEA21,NAME_COUNTY21
01,002,Autauga County School District,Autauga County
01,002,Gulf Shores City School District,Baldwin County
01,002,Baldwin County School District,Baldwin County
01,003,Barbour County School District,Barbour County
01,014,Eufaula City School District,Barbour County
01,003,Bibb County School District,Bibb County
01,004,Blount County School District,Blount County
01,025,Oneonta City School District,Blount County
01,004,Bullock County School District,Bullock County
01,005,Butler County School District,Butler County
01,000,Anniston City School District,Calhoun County
01,005,Calhoun County School District,Calhoun County
01,018,Jacksonville City School District,Calhoun County
01,006,Chambers County School District,Chambers County
01,019,Lanett City School District,Chambers County
01,006,Cherokee County School District,Cherokee County
01,006,Chilton County School District,Chilton County
01,006,Choctaw County School District,Choctaw County
01,007,Clarke County School District,Clarke County
01,033,Thomasville City School District,Clarke County
01,007,Clay County School District,Clay County
01,007,Cleburne County School District,Cleburne County
01,008,Coffee County School District,Coffee County
01,012,Elba City School District,Coffee County
01,008,Colbert County School District,Colbert County
01,025,Muscle Shoals City School District,Colbert County
01,030,Sheffield City School District,Colbert County
01,034,Tuscumbia City School District,Colbert County
01,008,Conecuh County School District,Conecuh County
01,009,Coosa County School District,Coosa County
01,000,Andalusia City School District,Covington County
01,009,Covington County School District,Covington County
01,026,Opp City School District,Covington County
01,009,Crenshaw County School District,Crenshaw County
01,009,Cullman City School District,Cullman County
01,010,Cullman County School District,Cullman County
01,010,Dale County School District,Dale County
01,010,Daleville City School District,Dale County
01,026,Ozark City School District,Dale County
01,011,Dallas County School District,Dallas County
01,029,Selma City School District,Dallas County
01,011,DeKalb County School District,DeKalb County
01,015,Fort Payne City School District,DeKalb County
01,012,Elmore County School District,Elmore County
01,004,Brewton City School District,Escambia County
01,013,Escambia County School District,Escambia County
01,001,Attalla City School District,Etowah County
01,013,Etowah County School District,Etowah County
01,016,Gadsden City School District,Etowah County
01,014,Fayette County School District,Fayette County
01,015,Franklin County School District,Franklin County
01,029,Russellville City School District,Franklin County
01,016,Geneva City School District,Geneva County
01,016,Geneva County School District,Geneva County
01,016,Greene County School District,Greene County
01,017,Hale County School District,Hale County
01,017,Henry County School District,Henry County
01,017,Houston County School District,Houston County
01,018,Jackson County School District,Jackson County
01,029,Scottsboro City School District,Jackson County
01,003,Bessemer City School District,Jefferson County
01,014,Fairfield City School District,Jefferson County
01,017,Homewood City School District,Jefferson County
01,019,Jefferson County School District,Jefferson County
01,023,Midfield City School District,Jefferson County
01,024,Mountain Brook City School District,Jefferson County
01,032,Tarrant City School District,Jefferson County
01,019,Lamar County School District,Lamar County
01,015,Florence City School District,Lauderdale County
01,020,Lauderdale County School District,Lauderdale County
01,020,Lawrence County School District,Lawrence County
01,002,Auburn City School District,Lee County
01,020,Lee County School District,Lee County
01,025,Opelika City School District,Lee County
01,001,Athens City School District,Limestone County
01,021,Limestone County School District,Limestone County
01,021,Lowndes County School District,Lowndes County
01,021,Macon County School District,Macon County
01,022,Madison County School District,Madison County
01,012,Demopolis City School District,Marengo County
01,021,Linden City School District,Marengo County
01,022,Marengo County School District,Marengo County
01,023,Marion County School District,Marion County
01,000,Albertville City School District,Marshall County
01,000,Marshall County School District,Marshall County
01,016,Guntersville City School District,Marshall County
01,001,Saraland City School District,Mobile County
01,001,Chickasaw City School District,Mobile County
01,001,Satsuma City School District,Mobile County
01,023,Mobile County School District,Mobile County
01,024,Monroe County School District,Monroe County
01,000,Maxwell AFB School District,Montgomery County
01,001,Pike Road City School District,Montgomery County
01,024,Montgomery County School District,Montgomery County
01,017,Hartselle City School District,Morgan County
01,024,Morgan County School District,Morgan County
01,026,Perry County School District,Perry County
01,027,Pickens County School District,Pickens County
01,027,Pike County School District,Pike County
01,033,Troy City School District,Pike County
01,028,Randolph County School District,Randolph County
01,028,Roanoke City School District,Randolph County
01,028,Russell County School District,Russell County
01,026,Pell City City School District,St. Clair County
01,030,St. Clair County School District,St. Clair County
01,001,Alabaster City School District,Shelby County
01,001,Pelham City School District,Shelby County
01,030,Shelby County School District,Shelby County
01,030,Sumter County School District,Sumter County
01,031,Sylacauga City School District,Talladega County
01,031,Talladega City School District,Talladega County
01,031,Talladega County School District,Talladega County
01,000,Alexander City City School District,Tallapoosa County
01,032,Tallapoosa County School District,Tallapoosa County
01,033,Tuscaloosa City School District,Tuscaloosa County
01,033,Tuscaloosa County School District,Tuscaloosa County
01,018,Jasper City School District,Walker County
01,034,Walker County School District,Walker County
01,034,Washington County School District,Washington County
01,035,Wilcox County School District,Wilcox County
01,035,Winston County School District,Winston County
02,000,Aleutians East Borough School District,Aleutians East Borough
02,000,Aleutian Region School District,Aleutians West Census Area
02,006,Pribilof School District,Aleutians West Census Area
02,007,Unalaska City School District,Aleutians West Census Area
02,001,Anchorage School District,Anchorage Municipality
02,000,Yupiit School District,Bethel Census Area
