COUNTY,RPL_THEME1,STATE
Madison,0.0035,ALABAMA
Shelby,0.0031,ALABAMA
Madison,0.0512,ALABAMA
Madison,0.0059,ALABAMA
Jefferson,0.0111,ALABAMA
Shelby,0.0078,ALABAMA
Tuscaloosa,0.0052,ALABAMA
Jefferson,0.0006,ALABAMA
Shelby,0.0401,ALABAMA
Madison,0.0087,ALABAMA
Madison,0.0149,ALABAMA
Jefferson,0.0619,ALABAMA
Shelby,0.0223,ALABAMA
Shelby,0.0483,ALABAMA
Jefferson,0.0371,ALABAMA
Madison,0.0507,ALABAMA
Jefferson,0.1468,ALABAMA
Morgan,0.1217,ALABAMA
Jefferson,0.1561,ALABAMA
Jefferson,0.0341,ALABAMA
Shelby,0.0207,ALABAMA
Mobile,0.0127,ALABAMA
Shelby,0.041,ALABAMA
Jefferson,0.0047,ALABAMA
Madison,0.122,ALABAMA
Jefferson,0.0269,ALABAMA
Madison,0.0705,ALABAMA
Jefferson,0.0531,ALABAMA
Madison,0.1309,ALABAMA
Montgomery,0.1218,ALABAMA
Shelby,0.124,ALABAMA
Elmore,0.0967,ALABAMA
Shelby,0.169,ALABAMA
Jefferson,0.0365,ALABAMA
Madison,0.0311,ALABAMA
Jefferson,0.1164,ALABAMA
Madison,0.065,ALABAMA
Shelby,0.3103,ALABAMA
Jefferson,0.2185,ALABAMA
Shelby,0.0932,ALABAMA
Montgomery,0.0747,ALABAMA
Montgomery,0.0209,ALABAMA
Jefferson,0.0961,ALABAMA
Jefferson,0.4185,ALABAMA
Madison,0.0121,ALABAMA
Madison,0.3099,ALABAMA
Jefferson,0.0649,ALABAMA
Mobile,0.052,ALABAMA
Shelby,0.0933,ALABAMA
Mobile,0.2759,ALABAMA
Madison,0.0402,ALABAMA
Montgomery,0.1331,ALABAMA
Madison,0.0702,ALABAMA
Montgomery,0.0736,ALABAMA
Mobile,0.3163,ALABAMA
Shelby,0.1371,ALABAMA
Tuscaloosa,0.271,ALABAMA
Shelby,0.17,ALABAMA
Madison,0.1148,ALABAMA
Shelby,0.1368,ALABAMA
Montgomery,0.0535,ALABAMA
Madison,0.283,ALABAMA
Jefferson,0.1649,ALABAMA
Jefferson,0.0475,ALABAMA
Shelby,0.2194,ALABAMA
Jefferson,0.087,ALABAMA
Coffee,0.1626,ALABAMA
Etowah,0.3268,ALABAMA
Madison,0.162,ALABAMA
Tuscaloosa,0.3196,ALABAMA
Jefferson,0.0957,ALABAMA
Madison,0.3354,ALABAMA
Madison,0.1892,ALABAMA
Jefferson,0.3075,ALABAMA
Mobile,0.2868,ALABAMA
Montgomery,0.1265,ALABAMA
Montgomery,0.0669,ALABAMA
Madison,0.404,ALABAMA
Tuscaloosa,0.1805,ALABAMA
Tuscaloosa,0.2623,ALABAMA
Shelby,0.1232,ALABAMA
Jefferson,0.2921,ALABAMA
Mobile,0.1577,ALABAMA
Shelby,0.1546,ALABAMA
Madison,0.2881,ALABAMA
Montgomery,0.0767,ALABAMA
Jefferson,0.3093,ALABAMA
Elmore,0.206,ALABAMA
Baldwin,0.1974,ALABAMA
Jefferson,0.3349,ALABAMA
Colbert,0.2809,ALABAMA
Baldwin,0.4928,ALABAMA
Shelby,0.4237,ALABAMA
Jefferson,0.1843,ALABAMA
Shelby,0.2096,ALABAMA
Tuscaloosa,0.4697,ALABAMA
Etowah,0.2005,ALABAMA
Madison,0.1277,ALABAMA
Montgomery,0.09,ALABAMA
Jefferson,0.0986,ALABAMA
St. Clair,0.3009,ALABAMA
Limestone,0.4946,ALABAMA
Baldwin,0.3814,ALABAMA
Montgomery,0.2277,ALABAMA
Jefferson,0.0198,ALABAMA
Mobile,0.2201,ALABAMA
Lauderdale,0.2359,ALABAMA
Mobile,0.2372,ALABAMA
Covington,0.4059,ALABAMA
Morgan,0.3938,ALABAMA
Montgomery,0.2268,ALABAMA
Madison,0.2048,ALABAMA
Jefferson,0.0743,ALABAMA
Autauga,0.1825,ALABAMA
Jefferson,0.3493,ALABAMA
Talladega,0.2775,ALABAMA
Baldwin,0.1087,ALABAMA
Tuscaloosa,0.0615,ALABAMA
Mobile,0.0521,ALABAMA
Jefferson,0.47,ALABAMA
Lauderdale,0.4018,ALABAMA
Baldwin,0.3613,ALABAMA
Shelby,0.2076,ALABAMA
Calhoun,0.4574,ALABAMA
Lee,0.5624,ALABAMA
Etowah,0.2029,ALABAMA
Baldwin,0.0726,ALABAMA
Jefferson,0.2993,ALABAMA
Jefferson,0.3887,ALABAMA
Madison,0.1452,ALABAMA
Jefferson,0.0582,ALABAMA
Madison,0.1899,ALABAMA
Shelby,0.3018,ALABAMA
Mobile,0.1743,ALABAMA
Jefferson,0.2595,ALABAMA
Jefferson,0.1005,ALABAMA
Shelby,0.1403,ALABAMA
Baldwin,0.1525,ALABAMA
Madison,0.194,ALABAMA
Baldwin,0.3287,ALABAMA
Marion,0.4573,ALABAMA
Mobile,0.3912,ALABAMA
Autauga,0.2577,ALABAMA
Shelby,0.1948,ALABAMA
Calhoun,0.3106,ALABAMA
Dale,0.337,ALABAMA
Morgan,0.374,ALABAMA
Tuscaloosa,0.4994,ALABAMA
Baldwin,0.275,ALABAMA
Shelby,0.0566,ALABAMA
Morgan,0.1655,ALABAMA
Lawrence,0.5082,ALABAMA
Madison,0.2108,ALABAMA
Madison,0.1928,ALABAMA
Jefferson,0.1182,ALABAMA
Montgomery,0.0958,ALABAMA
Tallapoosa,0.1682,ALABAMA
Montgomery,0.2711,ALABAMA
Mobile,0.2064,ALABAMA
Tuscaloosa,0.3725,ALABAMA
Clay,0.4957,ALABAMA
Madison,0.1712,ALABAMA
Colbert,0.3616,ALABAMA
Jefferson,0.3325,ALABAMA
Bibb,0.5366,ALABAMA
Jefferson,0.2019,ALABAMA
Jefferson,0.2805,ALABAMA
Butler,0.4697,ALABAMA
Jefferson,0.0669,ALABAMA
Talladega,0.4317,ALABAMA
Cullman,0.5841,ALABAMA
Morgan,0.3142,ALABAMA
Baldwin,0.4701,ALABAMA
Etowah,0.5654,ALABAMA
Tuscaloosa,0.467,ALABAMA
Jefferson,0.1397,ALABAMA
Limestone,0.5635,ALABAMA
Mobile,0.1995,ALABAMA
Elmore,0.2135,ALABAMA
Limestone,0.357,ALABAMA
Morgan,0.5923,ALABAMA
Autauga,0.3913,ALABAMA
St. Clair,0.3893,ALABAMA
Jefferson,0.5354,ALABAMA
Houston,0.2056,ALABAMA
Cullman,0.5997,ALABAMA
Lee,0.7632,ALABAMA
Jefferson,0.3526,ALABAMA
Baldwin,0.3079,ALABAMA
St. Clair,0.413,ALABAMA
Shelby,0.4176,ALABAMA
Jefferson,0.1545,ALABAMA
Limestone,0.3595,ALABAMA
Mobile,0.4264,ALABAMA
Madison,0.5902,ALABAMA
Mobile,0.2789,ALABAMA
Shelby,0.395,ALABAMA
Calhoun,0.577,ALABAMA
Baldwin,0.2615,ALABAMA
Elmore,0.2957,ALABAMA
Calhoun,0.3703,ALABAMA
Tuscaloosa,0.3236,ALABAMA
Chilton,0.5943,ALABAMA
Montgomery,0.2329,ALABAMA
Jefferson,0.1892,ALABAMA
Tuscaloosa,0.4989,ALABAMA
Etowah,0.612,ALABAMA
Russell,0.4722,ALABAMA
Jackson,0.4479,ALABAMA
Lee,0.3271,ALABAMA
Autauga,0.4077,ALABAMA
Elmore,0.2329,ALABAMA
DeKalb,0.2241,ALABAMA
Cherokee,0.5644,ALABAMA
Blount,0.3346,ALABAMA
Coffee,0.4791,ALABAMA
Dallas,0.3601,ALABAMA
Butler,0.5156,ALABAMA
Madison,0.5789,ALABAMA
Tuscaloosa,0.7863,ALABAMA
Coosa,0.495,ALABAMA
St. Clair,0.3202,ALABAMA
Tallapoosa,0.4973,ALABAMA
Baldwin,0.2715,ALABAMA
Marshall,0.5086,ALABAMA
Madison,0.4329,ALABAMA
Tallapoosa,0.6371,ALABAMA
Madison,0.5863,ALABAMA
Lauderdale,0.6453,ALABAMA
Cullman,0.5712,ALABAMA
Etowah,0.4265,ALABAMA
Madison,0.2765,ALABAMA
Mobile,0.5245,ALABAMA
Lee,0.4892,ALABAMA
Jefferson,0.3864,ALABAMA
Cullman,0.6146,ALABAMA
Jefferson,0.0607,ALABAMA
Lee,0.7234,ALABAMA
Shelby,0.3859,ALABAMA
Franklin,0.4196,ALABAMA
Etowah,0.6887,ALABAMA
Mobile,0.3634,ALABAMA
Morgan,0.3391,ALABAMA
Jefferson,0.3239,ALABAMA
Morgan,0.3044,ALABAMA
Mobile,0.3796,ALABAMA
Tuscaloosa,0.5773,ALABAMA
Cullman,0.4931,ALABAMA
Coffee,0.5215,ALABAMA
Lauderdale,0.4543,ALABAMA
Shelby,0.4477,ALABAMA
Shelby,0.3073,ALABAMA
Lee,0.3684,ALABAMA
Lee,0.392,ALABAMA
Montgomery,0.1645,ALABAMA
Lee,0.2367,ALABAMA
Limestone,0.3811,ALABAMA
Jefferson,0.3609,ALABAMA
Mobile,0.191,ALABAMA
Shelby,0.4714,ALABAMA
Cherokee,0.5609,ALABAMA
Lauderdale,0.3566,ALABAMA
Tuscaloosa,0.3956,ALABAMA
Dallas,0.5313,ALABAMA
Lauderdale,0.6798,ALABAMA
Etowah,0.6124,ALABAMA
Lauderdale,0.3702,ALABAMA
Tuscaloosa,0.3826,ALABAMA
Winston,0.7721,ALABAMA
Madison,0.5502,ALABAMA
Mobile,0.5199,ALABAMA
Dale,0.5938,ALABAMA
Jefferson,0.4148,ALABAMA
Colbert,0.5985,ALABAMA
Lauderdale,0.2606,ALABAMA
Macon,0.6073,ALABAMA
Lauderdale,0.5247,ALABAMA
Jefferson,0.4549,ALABAMA
Tuscaloosa,0.4194,ALABAMA
Houston,0.5491,ALABAMA
Lee,0.5154,ALABAMA
Houston,0.2456,ALABAMA
Etowah,0.5709,ALABAMA
Mobile,0.5651,ALABAMA
Tuscaloosa,0.6584,ALABAMA
Madison,0.3292,ALABAMA
Marshall,0.5946,ALABAMA
Coffee,0.4986,ALABAMA
Blount,0.4794,ALABAMA
Covington,0.585,ALABAMA
Dale,0.5606,ALABAMA
Tuscaloosa,0.748,ALABAMA
Baldwin,0.2281,ALABAMA
Lamar,0.5586,ALABAMA
Lee,0.4627,ALABAMA
Baldwin,0.4255,ALABAMA
Tuscaloosa,0.5413,ALABAMA
Cleburne,0.6041,ALABAMA
Elmore,0.4721,ALABAMA
Tuscaloosa,0.5477,ALABAMA
Montgomery,0.4475,ALABAMA
Montgomery,0.4431,ALABAMA
Mobile,0.2639,ALABAMA
Shelby,0.7501,ALABAMA
Lawrence,0.646,ALABAMA
Shelby,0.6569,ALABAMA
Montgomery,0.1781,ALABAMA
Mobile,0.6489,ALABAMA
Marshall,0.5304,ALABAMA
Madison,0.4182,ALABAMA
St. Clair,0.6047,ALABAMA
DeKalb,0.6357,ALABAMA
Madison,0.7005,ALABAMA
Walker,0.6063,ALABAMA
Mobile,0.3813,ALABAMA
Mobile,0.5321,ALABAMA
Chilton,0.6703,ALABAMA
Etowah,0.3411,ALABAMA
Geneva,0.5051,ALABAMA
Lee,0.5422,ALABAMA
Morgan,0.6168,ALABAMA
Jefferson,0.3896,ALABAMA
Lee,0.502,ALABAMA
Mobile,0.4796,ALABAMA
Colbert,0.4259,ALABAMA
Jefferson,0.4021,ALABAMA
Cherokee,0.6373,ALABAMA
Morgan,0.761,ALABAMA
Crenshaw,0.5769,ALABAMA
Mobile,0.6854,ALABAMA
