COUNTY,MP_NOHSDP,STATE
MADISON,1.5,ALABAMA
SHELBY,1,ALABAMA
MADISON,1.2,ALABAMA
MADISON,1,ALABAMA
JEFFERSON,0.7,ALABAMA
SHELBY,3.7,ALABAMA
TUSCALOOSA,2.3,ALABAMA
JEFFERSON,0.4,ALABAMA
SHELBY,3.5,ALABAMA
MADISON,0.9,ALABAMA
MADISON,0.8,ALABAMA
JEFFERSON,1.2,ALABAMA
SHELBY,1.1,ALABAMA
SHELBY,1.8,ALABAMA
JEFFERSON,0.4,ALABAMA
MADISON,0.9,ALABAMA
JEFFERSON,3.4,ALABAMA
MORGAN,2.9,ALABAMA
JEFFERSON,0.8,ALABAMA
JEFFERSON,0.8,ALABAMA
SHELBY,2.1,ALABAMA
MOBILE,4.5,ALABAMA
SHELBY,1.4,ALABAMA
JEFFERSON,0.9,ALABAMA
MADISON,2,ALABAMA
JEFFERSON,1.3,ALABAMA
MADISON,1.4,ALABAMA
JEFFERSON,2.8,ALABAMA
MADISON,3.2,ALABAMA
MONTGOMERY,3.9,ALABAMA
SHELBY,0.8,ALABAMA
ELMORE,2,ALABAMA
SHELBY,3.8,ALABAMA
JEFFERSON,3,ALABAMA
MADISON,1.4,ALABAMA
JEFFERSON,2.7,ALABAMA
MADISON,1.1,ALABAMA
SHELBY,1.3,ALABAMA
JEFFERSON,1.1,ALABAMA
SHELBY,1.9,ALABAMA
MONTGOMERY,2.6,ALABAMA
MONTGOMERY,2.7,ALABAMA
JEFFERSON,2,ALABAMA
JEFFERSON,4.9,ALABAMA
MADISON,0.8,ALABAMA
MADISON,3.6,ALABAMA
JEFFERSON,1.5,ALABAMA
MOBILE,1.9,ALABAMA
SHELBY,1.9,ALABAMA
MOBILE,4,ALABAMA
MADISON,2.2,ALABAMA
MONTGOMERY,2.3,ALABAMA
MADISON,1.3,ALABAMA
MONTGOMERY,2.6,ALABAMA
MOBILE,1.4,ALABAMA
SHELBY,2,ALABAMA
TUSCALOOSA,5.2,ALABAMA
SHELBY,2.7,ALABAMA
MADISON,1.3,ALABAMA
SHELBY,3.1,ALABAMA
MONTGOMERY,1.9,ALABAMA
MADISON,2.4,ALABAMA
JEFFERSON,2.6,ALABAMA
JEFFERSON,4,ALABAMA
SHELBY,3.6,ALABAMA
JEFFERSON,1.9,ALABAMA
COFFEE,1.8,ALABAMA
ETOWAH,5.7,ALABAMA
MADISON,1.3,ALABAMA
TUSCALOOSA,2.7,ALABAMA
JEFFERSON,2.5,ALABAMA
MADISON,1.8,ALABAMA
MADISON,4,ALABAMA
JEFFERSON,3.7,ALABAMA
MOBILE,3.5,ALABAMA
MONTGOMERY,1.5,ALABAMA
MONTGOMERY,2,ALABAMA
MADISON,2.4,ALABAMA
TUSCALOOSA,2.3,ALABAMA
TUSCALOOSA,2.1,ALABAMA
SHELBY,3.9,ALABAMA
JEFFERSON,3.4,ALABAMA
MOBILE,4.5,ALABAMA
SHELBY,1.9,ALABAMA
MADISON,4.1,ALABAMA
MONTGOMERY,1.8,ALABAMA
JEFFERSON,2.4,ALABAMA
ELMORE,3.6,ALABAMA
BALDWIN,2.3,ALABAMA
JEFFERSON,3.2,ALABAMA
COLBERT,3.8,ALABAMA
BALDWIN,4.7,ALABAMA
SHELBY,1.8,ALABAMA
JEFFERSON,2.2,ALABAMA
SHELBY,4.7,ALABAMA
TUSCALOOSA,4.9,ALABAMA
ETOWAH,2.9,ALABAMA
MADISON,1.6,ALABAMA
MONTGOMERY,2.8,ALABAMA
JEFFERSON,3.2,ALABAMA
ST. CLAIR,2.9,ALABAMA
LIMESTONE,2.9,ALABAMA
BALDWIN,1.1,ALABAMA
MONTGOMERY,3.6,ALABAMA
JEFFERSON,0.7,ALABAMA
MOBILE,2.7,ALABAMA
LAUDERDALE,2.9,ALABAMA
MOBILE,6.3,ALABAMA
COVINGTON,4.2,ALABAMA
MORGAN,8.3,ALABAMA
MONTGOMERY,1.7,ALABAMA
MADISON,3.1,ALABAMA
JEFFERSON,3,ALABAMA
AUTAUGA,2.2,ALABAMA
JEFFERSON,2,ALABAMA
TALLADEGA,3.1,ALABAMA
BALDWIN,2.7,ALABAMA
TUSCALOOSA,1.2,ALABAMA
MOBILE,2.1,ALABAMA
JEFFERSON,2.3,ALABAMA
LAUDERDALE,4.8,ALABAMA
BALDWIN,3.2,ALABAMA
SHELBY,2.4,ALABAMA
CALHOUN,2.8,ALABAMA
LEE,1.7,ALABAMA
ETOWAH,2.8,ALABAMA
BALDWIN,2.4,ALABAMA
JEFFERSON,4,ALABAMA
JEFFERSON,3.8,ALABAMA
MADISON,1.4,ALABAMA
JEFFERSON,2,ALABAMA
MADISON,3.8,ALABAMA
SHELBY,6,ALABAMA
MOBILE,2.5,ALABAMA
JEFFERSON,3.2,ALABAMA
JEFFERSON,3,ALABAMA
SHELBY,3.4,ALABAMA
BALDWIN,1.9,ALABAMA
MADISON,4.3,ALABAMA
BALDWIN,1.4,ALABAMA
MARION,6.5,ALABAMA
MOBILE,3.8,ALABAMA
AUTAUGA,3.4,ALABAMA
SHELBY,1.8,ALABAMA
CALHOUN,3.8,ALABAMA
DALE,4.8,ALABAMA
MORGAN,3.3,ALABAMA
TUSCALOOSA,4,ALABAMA
BALDWIN,2.8,ALABAMA
SHELBY,2.5,ALABAMA
MORGAN,2.9,ALABAMA
LAWRENCE,5.7,ALABAMA
MADISON,3.2,ALABAMA
MADISON,2.4,ALABAMA
JEFFERSON,2.8,ALABAMA
MONTGOMERY,0.8,ALABAMA
TALLAPOOSA,2.2,ALABAMA
MONTGOMERY,4.3,ALABAMA
MOBILE,3,ALABAMA
TUSCALOOSA,2,ALABAMA
CLAY,5.7,ALABAMA
MADISON,2.2,ALABAMA
COLBERT,4,ALABAMA
JEFFERSON,3.4,ALABAMA
BIBB,2.4,ALABAMA
JEFFERSON,3.3,ALABAMA
JEFFERSON,5.2,ALABAMA
BUTLER,3.9,ALABAMA
JEFFERSON,1.8,ALABAMA
TALLADEGA,6.1,ALABAMA
CULLMAN,7.6,ALABAMA
MORGAN,4.9,ALABAMA
BALDWIN,4.5,ALABAMA
ETOWAH,3.3,ALABAMA
TUSCALOOSA,4.8,ALABAMA
JEFFERSON,2.3,ALABAMA
LIMESTONE,4.2,ALABAMA
MOBILE,2.9,ALABAMA
ELMORE,3.3,ALABAMA
LIMESTONE,7.1,ALABAMA
MORGAN,5.1,ALABAMA
AUTAUGA,3.6,ALABAMA
ST. CLAIR,5.2,ALABAMA
JEFFERSON,4.7,ALABAMA
HOUSTON,0.8,ALABAMA
CULLMAN,5,ALABAMA
LEE,8.5,ALABAMA
JEFFERSON,3.2,ALABAMA
BALDWIN,2.6,ALABAMA
ST. CLAIR,4.7,ALABAMA
SHELBY,4.8,ALABAMA
JEFFERSON,1.8,ALABAMA
LIMESTONE,2.9,ALABAMA
MOBILE,3.4,ALABAMA
MADISON,3.7,ALABAMA
MOBILE,3.3,ALABAMA
SHELBY,3.4,ALABAMA
CALHOUN,4.6,ALABAMA
BALDWIN,1.5,ALABAMA
ELMORE,3,ALABAMA
CALHOUN,3.5,ALABAMA
TUSCALOOSA,3.4,ALABAMA
CHILTON,5.7,ALABAMA
MONTGOMERY,2,ALABAMA
JEFFERSON,1.8,ALABAMA
TUSCALOOSA,3.8,ALABAMA
ETOWAH,5.1,ALABAMA
RUSSELL,4.4,ALABAMA
JACKSON,3.8,ALABAMA
LEE,3.1,ALABAMA
AUTAUGA,4,ALABAMA
ELMORE,4.5,ALABAMA
DEKALB,8.5,ALABAMA
CHEROKEE,5.5,ALABAMA
BLOUNT,2.9,ALABAMA
COFFEE,3.1,ALABAMA
DALLAS,3.1,ALABAMA
BUTLER,4.4,ALABAMA
MADISON,3.8,ALABAMA
TUSCALOOSA,3,ALABAMA
COOSA,7,ALABAMA
ST. CLAIR,2.9,ALABAMA
TALLAPOOSA,3.8,ALABAMA
BALDWIN,4.8,ALABAMA
MARSHALL,4.6,ALABAMA
MADISON,2.5,ALABAMA
TALLAPOOSA,6.9,ALABAMA
MADISON,4.6,ALABAMA
LAUDERDALE,4,ALABAMA
CULLMAN,5.4,ALABAMA
ETOWAH,3,ALABAMA
MADISON,2.2,ALABAMA
MOBILE,5.6,ALABAMA
LEE,6.3,ALABAMA
